item_id,beer_name,brewery_name,beer_type,beer_abv,beer_ibu,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,created_at,notes,quantity,container,purchase_date,bottled_date,best_by_date,best_by_date_iso,purchase_location,purchase_price,photo
6132031,Särimner,"Närke Kulturbryggeri","Porter - Smoked",8,50,,,,,,,"2025-04-08 09:24:30",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6142148,"A Decade of Pastry - Noa Anniversary",Omnipollo,"Stout - Imperial / Double Pastry",14.2,0,,,,,,,"2025-04-08 18:28:30",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6158856,"Stockholm Juice! Vol. 2",Omnipollo,"Pale Ale - American",5.6,50,,,,,,,"2025-02-21 12:57:17",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6162690,"Bobo Double Chocolate Vanilla Imperial Stout","Shapes & Objects Beer Co","Stout - Imperial / Double",12.5,65,,,,,,,"2025-04-08 18:11:16",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6166127,"Golden Horizon West Coast Lager","Hop Notch Brewing","Lager - IPL (India Pale Lager)",5.2,0,,,,,,,"2025-05-07 16:05:01",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6186933,"Saison Dupont Dry Hop","Brasserie Dupont","Farmhouse Ale - Saison",6.5,40,,,,,,,"2025-05-07 15:57:20",,2,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6187881,"All the Vanilla",Omnipollo,"Stout - Imperial / Double",14.7,0,,,,,,,"2025-04-11 15:20:04","Location: fridge 
Systembolaget: 
Recommendation: 
Discussion: ",1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6188069,"International Haze 4x Mango","Brygghus 19","IPA - New England / Hazy",7,0,,,,,,,"2025-04-07 18:05:14",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6210023,"Narangi DDH","O/O Brewing ","IPA - New England / Hazy",6.8,65,,,,,,,"2025-04-17 12:00:26",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6211026,"Easter Bunny IPA","Brygghus 19","IPA - New England / Hazy",6.8,0,,,,,,,"2025-04-07 18:04:07",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6215586,"Kombine 2025","Brouwerij St.Bernardus","Lager - Helles",6,25,,,,,,,"2025-05-07 15:56:47",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6221335,C4,"Hop Notch Brewing","IPA - Imperial / Double",8,0,,,,,,,"2025-04-17 13:26:34",,2,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6226799,Sølaris,Brekeriet,"Grape Ale - Other",8,0,,,,,,,"2025-05-07 16:02:02",,2,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6230032,Adieu,Brekeriet,"Wild Ale - Other",8,0,,,,,,,"2025-05-07 16:02:23",,2,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6230692,"Instormande Ida","Hyllie Bryggeri","IPA - Session",4.7,0,,,,,,,"2025-05-07 16:06:30",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6239090,"Queen of Hearts IPA","Brygghus 19","IPA - New England / Hazy",7.5,60,,,,,,,"2025-05-07 15:52:11",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6239096,"India Pale Ale - Elefant Öl","Brygghus 19","IPA - American",6.6,66,,,,,,,"2025-05-07 15:51:18",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6252924,"Nordic Unity APA","Hop Notch Brewing","Pale Ale - American",5.6,0,,,,,,,"2025-05-07 16:05:35",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
